date,geography,indicator,value
1976-02,Nova Scotia,Population,584.4
1976-02,Nova Scotia,Labour force,325.8
1976-02,Nova Scotia,Employment,300.2
1976-02,Nova Scotia,Full-time employment,262.6
1976-02,Nova Scotia,Part-time employment,37.6
1976-02,Nova Scotia,Unemployment,25.6
1976-02,Nova Scotia,Unemployment rate,7.9
1976-02,Nova Scotia,Participation rate,55.7
1976-02,Nova Scotia,Employment rate,51.4
1976-02,New Brunswick,Population,477.8
1976-02,New Brunswick,Labour force,261.3
1976-02,New Brunswick,Employment,232.9
1976-02,New Brunswick,Full-time employment,208.2
1976-02,New Brunswick,Part-time employment,24.7
1976-02,New Brunswick,Unemployment,28.4
1976-02,New Brunswick,Unemployment rate,10.9
1976-02,New Brunswick,Participation rate,54.7
1976-02,New Brunswick,Employment rate,48.7
1976-02,Quebec,Population,4705.0
1976-02,Quebec,Labour force,2778.1
1976-02,Quebec,Employment,2536.3
1976-02,Quebec,Full-time employment,2314.1
1976-02,Quebec,Part-time employment,222.2
1976-02,Quebec,Unemployment,241.8
1976-02,Quebec,Unemployment rate,8.7
1976-02,Quebec,Participation rate,59.0
1976-02,Quebec,Employment rate,53.9
1976-02,Ontario,Population,6149.1
1976-02,Ontario,Labour force,3953.6
1976-02,Ontario,Employment,3713.4
1976-02,Ontario,Full-time employment,3219.4
1976-02,Ontario,Part-time employment,494.0
1976-02,Ontario,Unemployment,240.2
1976-02,Ontario,Unemployment rate,6.1
1976-02,Ontario,Participation rate,64.3
1976-02,Ontario,Employment rate,60.4
1976-02,Manitoba,Population,733.8
1976-02,Manitoba,Labour force,447.3
1976-02,Manitoba,Employment,425.4
1976-02,Manitoba,Full-time employment,373.3
1976-02,Manitoba,Part-time employment,52.0
1976-02,Manitoba,Unemployment,22.0
1976-02,Manitoba,Unemployment rate,4.9
1976-02,Manitoba,Participation rate,61.0
1976-02,Manitoba,Employment rate,58.0
1976-02,Saskatchewan,Population,649.8
1976-02,Saskatchewan,Labour force,391.7
1976-02,Saskatchewan,Employment,375.5
1976-02,Saskatchewan,Full-time employment,319.3
1976-02,Saskatchewan,Part-time employment,56.2
1976-02,Saskatchewan,Unemployment,16.2
1976-02,Saskatchewan,Unemployment rate,4.1
1976-02,Saskatchewan,Participation rate,60.3
1976-02,Saskatchewan,Employment rate,57.8
1976-02,Alberta,Population,1285.0
