date,geography,indicator,value
2001-07,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,588.96
2001-07,Prince Edward Island,Average weekly earnings including overtime for all employees,526.65
2001-07,Nova Scotia,Average weekly earnings including overtime for all employees,574.79
2001-07,New Brunswick,Average weekly earnings including overtime for all employees,583.68
2001-07,Quebec,Average weekly earnings including overtime for all employees,622.48
2001-07,Ontario,Average weekly earnings including overtime for all employees,696.28
2001-07,Manitoba,Average weekly earnings including overtime for all employees,588.53
2001-07,Saskatchewan,Average weekly earnings including overtime for all employees,593.23
2001-07,Alberta,Average weekly earnings including overtime for all employees,674.35
2001-07,British Columbia,Average weekly earnings including overtime for all employees,658.82
2001-07,Yukon,Average weekly earnings including overtime for all employees,711.6
2001-07,Northwest Territories,Average weekly earnings including overtime for all employees,874.45
2001-07,Nunavut,Average weekly earnings including overtime for all employees,860.0
2001-08,Canada,Average weekly earnings including overtime for all employees,659.47
2001-08,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,595.79
2001-08,Prince Edward Island,Average weekly earnings including overtime for all employees,550.83
2001-08,Nova Scotia,Average weekly earnings including overtime for all employees,580.43
2001-08,New Brunswick,Average weekly earnings including overtime for all employees,608.55
2001-08,Quebec,Average weekly earnings including overtime for all employees,624.76
2001-08,Ontario,Average weekly earnings including overtime for all employees,695.53
2001-08,Manitoba,Average weekly earnings including overtime for all employees,593.48
2001-08,Saskatchewan,Average weekly earnings including overtime for all employees,604.51
2001-08,Alberta,Average weekly earnings including overtime for all employees,679.33
2001-08,British Columbia,Average weekly earnings including overtime for all employees,661.31
2001-08,Yukon,Average weekly earnings including overtime for all employees,712.46
2001-08,Northwest Territories,Average weekly earnings including overtime for all employees,886.82
2001-08,Nunavut,Average weekly earnings including overtime for all employees,864.3
2001-09,Canada,Average weekly earnings including overtime for all employees,659.92
2001-09,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,601.94
2001-09,Prince Edward Island,Average weekly earnings including overtime for all employees,536.43
2001-09,Nova Scotia,Average weekly earnings including overtime for all employees,580.0
2001-09,New Brunswick,Average weekly earnings including overtime for all employees,593.38
2001-09,Quebec,Average weekly earnings including overtime for all employees,625.05
2001-09,Ontario,Average weekly earnings including overtime for all employees,698.91
2001-09,Manitoba,Average weekly earnings including overtime for all employees,589.95
2001-09,Saskatchewan,Average weekly earnings including overtime for all employees,599.52
2001-09,Alberta,Average weekly earnings including overtime for all employees,686.34
2001-09,British Columbia,Average weekly earnings including overtime for all employees,659.61
2001-09,Yukon,Average weekly earnings including overtime for all employees,710.23
2001-09,Northwest Territories,Average weekly earnings including overtime for all employees,875.32
2001-09,Nunavut,Average weekly earnings including overtime for all employees,884.64
2001-10,Canada,Average weekly earnings including overtime for all employees,660.91
2001-10,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,596.51
2001-10,Prince Edward Island,Average weekly earnings including overtime for all employees,538.07
2001-10,Nova Scotia,Average weekly earnings including overtime for all employees,584.9
2001-10,New Brunswick,Average weekly earnings including overtime for all employees,592.97
2001-10,Quebec,Average weekly earnings including overtime for all employees,624.7
2001-10,Ontario,Average weekly earnings including overtime for all employees,697.46
2001-10,Manitoba,Average weekly earnings including overtime for all employees,589.03
2001-10,Saskatchewan,Average weekly earnings including overtime for all employees,602.95
2001-10,Alberta,Average weekly earnings including overtime for all employees,687.07
2001-10,British Columbia,Average weekly earnings including overtime for all employees,662.84
2001-10,Yukon,Average weekly earnings including overtime for all employees,730.72
2001-10,Northwest Territories,Average weekly earnings including overtime for all employees,881.62
2001-10,Nunavut,Average weekly earnings including overtime for all employees,893.82
2001-11,Canada,Average weekly earnings including overtime for all employees,659.71
2001-11,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,590.36
2001-11,Prince Edward Island,Average weekly earnings including overtime for all employees,533.43
2001-11,Nova Scotia,Average weekly earnings including overtime for all employees,586.67
2001-11,New Brunswick,Average weekly earnings including overtime for all employees,595.48
2001-11,Quebec,Average weekly earnings including overtime for all employees,624.06
2001-11,Ontario,Average weekly earnings including overtime for all employees,700.87
2001-11,Manitoba,Average weekly earnings including overtime for all employees,585.98
2001-11,Saskatchewan,Average weekly earnings including overtime for all employees,595.6
2001-11,Alberta,Average weekly earnings including overtime for all employees,676.37
2001-11,British Columbia,Average weekly earnings including overtime for all employees,654.68
2001-11,Yukon,Average weekly earnings including overtime for all employees,725.82
2001-11,Northwest Territories,Average weekly earnings including overtime for all employees,871.54
2001-11,Nunavut,Average weekly earnings including overtime for all employees,881.92
2001-12,Canada,Average weekly earnings including overtime for all employees,660.39
2001-12,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,596.07
2001-12,Prince Edward Island,Average weekly earnings including overtime for all employees,546.97
2001-12,Nova Scotia,Average weekly earnings including overtime for all employees,589.45
2001-12,New Brunswick,Average weekly earnings including overtime for all employees,598.93
2001-12,Quebec,Average weekly earnings including overtime for all employees,628.01
2001-12,Ontario,Average weekly earnings including overtime for all employees,698.38
2001-12,Manitoba,Average weekly earnings including overtime for all employees,590.3
2001-12,Saskatchewan,Average weekly earnings including overtime for all employees,603.83
2001-12,Alberta,Average weekly earnings including overtime for all employees,677.16
2001-12,British Columbia,Average weekly earnings including overtime for all employees,658.95
2001-12,Yukon,Average weekly earnings including overtime for all employees,740.53
2001-12,Northwest Territories,Average weekly earnings including overtime for all employees,886.76
2001-12,Nunavut,Average weekly earnings including overtime for all employees,887.83
2002-01,Canada,Average weekly earnings including overtime for all employees,662.86
2002-01,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,598.51
2002-01,Prince Edward Island,Average weekly earnings including overtime for all employees,550.72
