date,geography,indicator,value
1954-01,Newfoundland and Labrador,Population,390000
1954-01,Prince Edward Island,Population,101000
1954-01,Nova Scotia,Population,668000
1954-01,New Brunswick,Population,537000
1954-01,Quebec,Population,4337000
1954-01,Ontario,Population,5047000
1954-01,Manitoba,Population,816000
1954-01,Saskatchewan,Population,867000
1954-01,Alberta,Population,1039000
1954-01,British Columbia,Population,1278000
1954-01,Yukon,Population,9000
1954-01,Northwest Territories including Nunavut,Population,16000
1954-04,Canada,Population,15199000
1954-04,Newfoundland and Labrador,Population,393000
1954-04,Prince Edward Island,Population,101000
1954-04,Nova Scotia,Population,670000
1954-04,New Brunswick,Population,538000
1954-04,Quebec,Population,4365000
1954-04,Ontario,Population,5082000
1954-04,Manitoba,Population,819000
1954-04,Saskatchewan,Population,869000
1954-04,Alberta,Population,1047000
1954-04,British Columbia,Population,1288000
1954-04,Yukon,Population,10000
1954-04,Northwest Territories including Nunavut,Population,17000
1954-07,Canada,Population,15330000
1954-07,Newfoundland and Labrador,Population,396000
1954-07,Prince Edward Island,Population,101000
1954-07,Nova Scotia,Population,674000
1954-07,New Brunswick,Population,541000
1954-07,Quebec,Population,4402000
1954-07,Ontario,Population,5130000
1954-07,Manitoba,Population,825000
1954-07,Saskatchewan,Population,874000
1954-07,Alberta,Population,1061000
1954-07,British Columbia,Population,1299000
1954-07,Yukon,Population,10000
1954-07,Northwest Territories including Nunavut,Population,17000
1954-10,Canada,Population,15444000
1954-10,Newfoundland and Labrador,Population,399000
1954-10,Prince Edward Island,Population,101000
1954-10,Nova Scotia,Population,676000
1954-10,New Brunswick,Population,543000
1954-10,Quebec,Population,4436000
1954-10,Ontario,Population,5174000
1954-10,Manitoba,Population,830000
1954-10,Saskatchewan,Population,877000
1954-10,Alberta,Population,1070000
1954-10,British Columbia,Population,1311000
1954-10,Yukon,Population,10000
1954-10,Northwest Territories including Nunavut,Population,17000
1955-01,Canada,Population,15535000
1955-01,Newfoundland and Labrador,Population,401000
1955-01,Prince Edward Island,Population,100000
1955-01,Nova Scotia,Population,678000
1955-01,New Brunswick,Population,544000
1955-01,Quebec,Population,4465000
1955-01,Ontario,Population,5208000
1955-01,Manitoba,Population,833000
1955-01,Saskatchewan,Population,877000
1955-01,Alberta,Population,1078000
1955-01,British Columbia,Population,1323000
1955-01,Yukon,Population,11000
1955-01,Northwest Territories including Nunavut,Population,17000
1955-04,Canada,Population,15620000
1955-04,Newfoundland and Labrador,Population,404000
1955-04,Prince Edward Island,Population,100000
1955-04,Nova Scotia,Population,681000
1955-04,New Brunswick,Population,546000
1955-04,Quebec,Population,4492000
1955-04,Ontario,Population,5236000
1955-04,Manitoba,Population,837000
1955-04,Saskatchewan,Population,877000
1955-04,Alberta,Population,1084000
1955-04,British Columbia,Population,1334000
1955-04,Yukon,Population,11000
1955-04,Northwest Territories including Nunavut,Population,18000
1955-07,Canada,Population,15736000
1955-07,Newfoundland and Labrador,Population,407000
1955-07,Prince Edward Island,Population,100000
1955-07,Nova Scotia,Population,684000
1955-07,New Brunswick,Population,548000
1955-07,Quebec,Population,4529000
1955-07,Ontario,Population,5278000
1955-07,Manitoba,Population,841000
1955-07,Saskatchewan,Population,879000
1955-07,Alberta,Population,1094000
1955-07,British Columbia,Population,1347000
1955-07,Yukon,Population,11000
1955-07,Northwest Territories including Nunavut,Population,18000
1955-10,Canada,Population,15834000
1955-10,Newfoundland and Labrador,Population,410000
1955-10,Prince Edward Island,Population,100000
1955-10,Nova Scotia,Population,688000
1955-10,New Brunswick,Population,550000
1955-10,Quebec,Population,4557000
1955-10,Ontario,Population,5311000
1955-10,Manitoba,Population,844000
1955-10,Saskatchewan,Population,880000
1955-10,Alberta,Population,1102000
1955-10,British Columbia,Population,1362000
1955-10,Yukon,Population,12000
1955-10,Northwest Territories including Nunavut,Population,18000
1956-01,Canada,Population,15919000
1956-01,Newfoundland and Labrador,Population,412000
1956-01,Prince Edward Island,Population,100000
1956-01,Nova Scotia,Population,690000
1956-01,New Brunswick,Population,552000
1956-01,Quebec,Population,4581000
1956-01,Ontario,Population,5344000
1956-01,Manitoba,Population,845000
1956-01,Saskatchewan,Population,879000
1956-01,Alberta,Population,1109000
1956-01,British Columbia,Population,1377000
1956-01,Yukon,Population,12000
1956-01,Northwest Territories including Nunavut,Population,18000
1956-04,Canada,Population,16004000
1956-04,Newfoundland and Labrador,Population,414000
1956-04,Prince Edward Island,Population,99000
1956-04,Nova Scotia,Population,693000
1956-04,New Brunswick,Population,553000
1956-04,Quebec,Population,4606000
1956-04,Ontario,Population,5375000
1956-04,Manitoba,Population,848000
1956-04,Saskatchewan,Population,879000
1956-04,Alberta,Population,1118000
1956-04,British Columbia,Population,1388000
1956-04,Yukon,Population,12000
1956-04,Northwest Territories including Nunavut,Population,19000
1956-07,Canada,Population,16123000
1956-07,Newfoundland and Labrador,Population,416000
1956-07,Prince Edward Island,Population,99000
1956-07,Nova Scotia,Population,695000
1956-07,New Brunswick,Population,556000
1956-07,Quebec,Population,4641000
1956-07,Ontario,Population,5423000
1956-07,Manitoba,Population,850000
1956-07,Saskatchewan,Population,881000
1956-07,Alberta,Population,1126000
1956-07,British Columbia,Population,1405000
1956-07,Yukon,Population,12000
1956-07,Northwest Territories including Nunavut,Population,19000
1956-10,Canada,Population,16235000
1956-10,Newfoundland and Labrador,Population,418000
1956-10,Prince Edward Island,Population,99000
1956-10,Nova Scotia,Population,695000
1956-10,New Brunswick,Population,557000
1956-10,Quebec,Population,4671000
1956-10,Ontario,Population,5470000
1956-10,Manitoba,Population,852000
1956-10,Saskatchewan,Population,880000
1956-10,Alberta,Population,1136000
1956-10,British Columbia,Population,1426000
1956-10,Yukon,Population,12000
1956-10,Northwest Territories including Nunavut,Population,19000
1957-01,Canada,Population,16352000
1957-01,Newfoundland and Labrador,Population,420000
