date,geography,indicator,value
1927-09,Canada,All-items,9.0
1927-10,Canada,All-items,9.0
1927-11,Canada,All-items,9.1
1927-12,Canada,All-items,9.1
1928-01,Canada,All-items,9.2
1928-02,Canada,All-items,9.2
1928-03,Canada,All-items,9.1
1928-04,Canada,All-items,9.1
1928-05,Canada,All-items,9.0
1928-06,Canada,All-items,9.0
1928-07,Canada,All-items,9.0
1928-08,Canada,All-items,9.2
1928-09,Canada,All-items,9.2
1928-10,Canada,All-items,9.2
1928-11,Canada,All-items,9.2
1928-12,Canada,All-items,9.2
1929-01,Canada,All-items,9.2
1929-02,Canada,All-items,9.2
1929-03,Canada,All-items,9.2
1929-04,Canada,All-items,9.1
1929-05,Canada,All-items,9.2
1929-06,Canada,All-items,9.2
1929-07,Canada,All-items,9.2
1929-08,Canada,All-items,9.2
1929-09,Canada,All-items,9.2
1929-10,Canada,All-items,9.3
1929-11,Canada,All-items,9.3
1929-12,Canada,All-items,9.4
1930-01,Canada,All-items,9.4
1930-02,Canada,All-items,9.4
1930-03,Canada,All-items,9.3
1930-04,Canada,All-items,9.2
1930-05,Canada,All-items,9.2
1930-06,Canada,All-items,9.2
1930-07,Canada,All-items,9.2
1930-08,Canada,All-items,9.2
1930-09,Canada,All-items,8.9
1930-10,Canada,All-items,8.9
1930-11,Canada,All-items,8.9
1930-12,Canada,All-items,8.8
1931-01,Canada,All-items,8.7
1931-02,Canada,All-items,8.6
1931-03,Canada,All-items,8.5
1931-04,Canada,All-items,8.4
1931-05,Canada,All-items,8.3
1931-06,Canada,All-items,8.2
1931-07,Canada,All-items,8.1
1931-08,Canada,All-items,8.2
1931-09,Canada,All-items,8.1
1931-10,Canada,All-items,7.9
1931-11,Canada,All-items,7.9
1931-12,Canada,All-items,7.9
1932-01,Canada,All-items,7.8
1932-02,Canada,All-items,7.6
1932-03,Canada,All-items,7.6
1932-04,Canada,All-items,7.6
1932-05,Canada,All-items,7.4
1932-06,Canada,All-items,7.4
1932-07,Canada,All-items,7.4
1932-08,Canada,All-items,7.4
1932-09,Canada,All-items,7.4
1932-10,Canada,All-items,7.3
1932-11,Canada,All-items,7.3
1932-12,Canada,All-items,7.3
1933-01,Canada,All-items,7.2
1933-02,Canada,All-items,7.2
